Semestre,Codigo,Edad,Genero,Ocupacion,Etnia,Tipo_vivienda,Estrato,Estado_civil,Nivel_escolar,Jornada_academica,Acudiente,Departamento_nacimiento,Municipio_nacimiento,Puntaje_icfes,Promedio_general,Asignaturas_preferidas,Logica_matematica,Neuroanatomia,Historia_fundamentos,Epistemologia,Actividad_formativa,Proyecto_vida,Electiva_sociohumanistica
1,73292251,21,1,2,1,0,3,0,1,0,1,4,18,310,3.8,0,1,1,0,0,1,0,1
1,73292263,23,0,2,1,2,2,0,1,0,1,0,0,329,3.8,0,0,1,1,0,1,1,1
1,73292258,35,0,2,2,1,3,0,0,0,0,0,3,250,3.9,1,1,1,1,1,1,1,1
1,73292301,53,0,2,1,2,4,1,2,0,1,0,8,300,4,0,1,0,1,0,1,1,1
1,73292265,26,0,0,1,0,2,0,1,0,0,0,5,289,4.3,0,1,0,0,1,1,1,1
1,73292227,29,0,0,1,1,2,0,2,0,1,0,0,59,4.3,0,1,1,1,0,1,1,1
1,73292470,21,0,2,1,1,3,2,0,0,1,0,0,250,3.6,0,1,1,1,0,1,0,1
1,73292284,21,0,2,1,2,1,0,1,0,0,0,0,246,3.5,0,0,1,1,0,1,1,1
1,73292298,17,0,0,1,2,2,0,0,0,0,0,0,278,3.9,0,0,1,1,1,1,1,1
1,73292326,26,0,0,1,2,3,2,0,0,0,0,0,267,3.6,1,1,1,1,1,1,1,1
1,73292299,17,0,0,0,3,2,2,0,0,1,0,0,269,3.9,1,1,1,1,1,1,1,1
1,38292353,28,0,2,0,3,3,1,0,0,1,0,0,323,4,1,1,1,1,1,1,1,1
1,73292239,19,0,0,1,0,1,2,0,0,1,0,3,251,3.5,1,1,1,1,1,1,1,1
1,73292364,29,1,2,3,1,2,0,2,0,1,9,9,254,3.8,0,0,0,1,1,1,0,1
1,73292309,17,0,0,1,2,1,0,0,0,1,0,0,315,3.4,1,1,1,1,1,1,1,1
1,73292261,18,0,0,3,3,1,0,1,0,1,2,7,262,3.9,0,1,1,0,0,1,0,1
1,73292324,17,0,0,0,2,3,0,0,0,1,3,1,240,4,0,1,1,1,0,1,0,0
1,73292243,19,0,0,1,1,3,0,0,2,1,0,0,255,3.9,0,1,1,1,0,1,0,1
1,73292256,19,0,0,1,2,3,0,1,0,1,0,0,248,4,0,0,1,1,0,1,0,0
